photo,room_num,area,price,orientation,h_num,s_num
https://img.0756fang.com/Upload/Dictionary/2021-07/s5FFFDBB3BF3C49788F04CC4A7BCEE8BA.jpg,3室1厅1卫,77.0㎡,37012元,东,0,2169
https://img.0756fang.com/Upload/Dictionary/2021-07/s578DAA25D5F747AD894DF2EAE6024FAB.jpg,3室2厅2卫,88.0㎡,36931元,南,1,2169
https://img.0756fang.com/Upload/Dictionary/2021-07/s2C8121C1417D4DF4A28B054F49DF551D.jpg,4室2厅2卫,99.0㎡,39393元,南北通,2,2169
https://img.0756fang.com/Upload/Dictionary/2021-07/sFDA582381CC74E7D98F4475CF41B6ED3.jpg,4室2厅2卫,125.0㎡,38400元,南北通,3,2169
https://img.0756fang.com/Upload/Dictionary/2021-07/s1BE825630E524039A78F9E0CC068C391.jpg,2室2厅1卫,86.0㎡,30232元,西南,0,2170
https://img.0756fang.com/Upload/Dictionary/2021-07/s1DB8094413414F48936EAE61A0AAF8E4.jpg,4室2厅2卫,91.0㎡,30219元,东南,1,2170
https://img.0756fang.com/Upload/Dictionary/2021-07/sC092526FE6AC492C97E24D5021C00190.jpg,4室2厅2卫,138.0㎡,30434元,南北通,2,2170
https://img.0756fang.com/Upload/Dictionary/2021-07/s4A7B8F41C654468EA6D144A0943ACFF1.jpg,3室2厅1卫,89.0㎡,30337元,西南,3,2170
https://img.0756fang.com/Upload/Dictionary/2020-08/sE1B7788975DB4CFE8BA9A1BB26D34B93.jpeg,3室2厅1卫,90.0㎡,26666元,南,0,2034
https://img.0756fang.com/Upload/Dictionary/2020-08/sDC65A9564ADC4096AECEABAEF3F58E7F.jpeg,3室2厅1卫,90.0㎡,26666元,南,1,2034
https://img.0756fang.com/Upload/Dictionary/2020-08/s84912274ACCA44139DCDF93DA36ED264.jpeg,2室2厅1卫,64.0㎡,26562元,南,2,2034
https://img.0756fang.com/Upload/Dictionary/2021-06/sDB6E262350E2497AA512112D6D8777E5.jpg,4室2厅2卫,135.0㎡,34074元,南北通,3,2034
https://img.0756fang.com/Upload/Dictionary/2021-06/s9262F93F4E984F3BB4D250171B619086.jpg,4室2厅3卫,165.0㎡,34545元,南北通,4,2034
https://img.0756fang.com/Upload/Dictionary/2018-04/08c6d11d-4bd7-4232-8586-e3d3067839de.jpg,3室2厅2卫,98.2㎡,29124元,东南,0,1150
https://img.0756fang.com/Upload/Dictionary/2021-05/s250143E22FA042E0B64CE9DFD6A83C6C.jpg,3室2厅2卫,119.5㎡,36317元,南,0,2142
https://img.0756fang.com/Upload/Dictionary/2021-05/s2976ABA6329C449F9AE86B1F16B1F0ED.jpg,3室2厅2卫,125.4㎡,36363元,南,1,2142
https://img.0756fang.com/Upload/Dictionary/2018-02/38bacc5d-3a98-4238-b97c-c85fdc1befaa.jpg,3室2厅1卫,93.0㎡,31935元,南,0,100
https://img.0756fang.com/Upload/Dictionary/2018-02/38bacc5d-3a98-4238-b97c-c85fdc1befaa.jpg,3室2厅2卫,88.0㎡,31931元,东北,1,100
https://img.0756fang.com/Upload/Dictionary/2018-02/85f48123-4617-434a-b36f-682832c300b9.jpg,4室2厅2卫,107.0㎡,31962元,南,2,100
https://img.0756fang.com/Upload/Dictionary/2021-04/sB579A9CAC8F149FA98A0B3F91FA4D055.png,2室2厅2卫,111.0㎡,25225元,南,0,2138
